a  H_over_H0
1.0000000000e-07 9.2391833373e+11
1.0032288206e-07 9.1798094317e+11
1.0064680664e-07 9.1208170869e+11
1.0097177712e-07 9.0622038511e+11
1.0129779688e-07 9.0039672876e+11
1.0162486929e-07 8.9461049761e+11
1.0195299776e-07 8.8886145112e+11
1.0228218569e-07 8.8314935033e+11
1.0261243652e-07 8.7747395783e+11
1.0294375367e-07 8.7183503769e+11
1.0327614058e-07 8.6623235554e+11
1.0360960070e-07 8.6066567849e+11
1.0394413751e-07 8.5513477515e+11
1.0427975449e-07 8.4963941564e+11
1.0461645510e-07 8.4417937152e+11
1.0495424287e-07 8.3875441585e+11
1.0529312128e-07 8.3336432313e+11
1.0563309388e-07 8.2800886932e+11
1.0597416419e-07 8.2268783180e+11
1.0631633575e-07 8.1740098941e+11
1.0665961212e-07 8.1214812240e+11
1.0700399687e-07 8.0692901242e+11
1.0734949358e-07 8.0174344253e+11
1.0769610583e-07 7.9659119719e+11
1.0804383724e-07 7.9147206225e+11
1.0839269140e-07 7.8638582491e+11
1.0874267195e-07 7.8133227377e+11
1.0909378253e-07 7.7631119876e+11
1.0944602678e-07 7.7132239119e+11
1.0979940836e-07 7.6636564369e+11
1.1015393095e-07 7.6144075022e+11
1.1050959823e-07 7.5654750607e+11
1.1086641390e-07 7.5168570787e+11
1.1122438166e-07 7.4685515350e+11
1.1158350523e-07 7.4205564220e+11
1.1194378835e-07 7.3728697447e+11
1.1230523475e-07 7.3254895208e+11
1.1266784821e-07 7.2784137810e+11
1.1303163247e-07 7.2316405686e+11
1.1339659133e-07 7.1851679393e+11
1.1376272858e-07 7.1389939616e+11
1.1413004802e-07 7.0931167160e+11
1.1449855347e-07 7.0475342957e+11
1.1486824875e-07 7.0022448060e+11
1.1523913772e-07 6.9572463644e+11
1.1561122422e-07 6.9125371005e+11
1.1598451212e-07 6.8681151559e+11
1.1635900530e-07 6.8239786842e+11
1.1673470765e-07 6.7801258508e+11
1.1711162308e-07 6.7365548328e+11
1.1748975549e-07 6.6932638193e+11
1.1786910883e-07 6.6502510108e+11
1.1824968704e-07 6.6075146195e+11
1.1863149406e-07 6.5650528689e+11
1.1901453387e-07 6.5228639940e+11
1.1939881045e-07 6.4809462414e+11
1.1978432778e-07 6.4392978685e+11
1.2017108989e-07 6.3979171443e+11
1.2055910077e-07 6.3568023487e+11
1.2094836448e-07 6.3159517728e+11
1.2133888505e-07 6.2753637186e+11
1.2173066654e-07 6.2350364989e+11
1.2212371302e-07 6.1949684376e+11
1.2251802857e-07 6.1551578691e+11
1.2291361731e-07 6.1156031388e+11
1.2331048332e-07 6.0763026025e+11
1.2370863075e-07 6.0372546265e+11
1.2410806372e-07 5.9984575879e+11
1.2450878639e-07 5.9599098741e+11
1.2491080292e-07 5.9216098827e+11
1.2531411749e-07 5.8835560217e+11
1.2571873430e-07 5.8457467096e+11
1.2612465753e-07 5.8081803745e+11
1.2653189142e-07 5.7708554551e+11
1.2694044020e-07 5.7337704000e+11
1.2735030810e-07 5.6969236676e+11
1.2776149940e-07 5.6603137264e+11
1.2817401836e-07 5.6239390547e+11
1.2858786926e-07 5.5877981405e+11
1.2900305642e-07 5.5518894816e+11
1.2941958414e-07 5.5162115854e+11
1.2983745676e-07 5.4807629690e+11
1.3025667861e-07 5.4455421588e+11
1.3067725406e-07 5.4105476910e+11
1.3109918746e-07 5.3757781108e+11
1.3152248322e-07 5.3412319732e+11
1.3194714572e-07 5.3069078421e+11
1.3237317938e-07 5.2728042909e+11
1.3280058862e-07 5.2389199019e+11
