#    L    TT             EE             BB             TE          
     2   0.271716E-09   0.626070E-13  -0.236215E-19   0.105825E-11
     3   0.223946E-09   0.650720E-13  -0.468056E-19   0.131159E-11
     4   0.188881E-09   0.444248E-13  -0.770409E-19   0.120910E-11
     5   0.164827E-09   0.231877E-13  -0.113754E-18   0.940205E-12
     6   0.148326E-09   0.106349E-13  -0.156237E-18   0.647487E-12
     7   0.137350E-09   0.553975E-14  -0.203652E-18   0.415036E-12
     8   0.129932E-09   0.393046E-14  -0.255038E-18   0.266050E-12
     9   0.124498E-09   0.328632E-14  -0.309321E-18   0.192553E-12
    10   0.121206E-09   0.281062E-14  -0.365318E-18   0.169456E-12
    11   0.119140E-09   0.243176E-14  -0.421750E-18   0.168090E-12
    12   0.117696E-09   0.211612E-14  -0.477250E-18   0.173435E-12
    13   0.117220E-09   0.177776E-14  -0.530377E-18   0.175818E-12
    14   0.117489E-09   0.141101E-14  -0.579623E-18   0.166241E-12
    15   0.118112E-09   0.109581E-14  -0.623430E-18   0.146972E-12
    16   0.119141E-09   0.887497E-15  -0.660201E-18   0.128339E-12
    17   0.120569E-09   0.786219E-15  -0.688312E-18   0.115718E-12
    18   0.122296E-09   0.778512E-15  -0.706128E-18   0.112170E-12
    19   0.124421E-09   0.844494E-15  -0.712016E-18   0.117378E-12
    20   0.126706E-09   0.952050E-15  -0.704358E-18   0.127970E-12
    21   0.129203E-09   0.103736E-14  -0.681568E-18   0.138052E-12
    22   0.131874E-09   0.105358E-14  -0.642104E-18   0.142166E-12
    23   0.134652E-09   0.104374E-14  -0.584483E-18   0.142291E-12
    24   0.137576E-09   0.106334E-14  -0.507294E-18   0.141985E-12
    25   0.140678E-09   0.112369E-14  -0.409214E-18   0.143086E-12
    26   0.143899E-09   0.122097E-14  -0.289020E-18   0.147477E-12
    27   0.147265E-09   0.133174E-14  -0.145602E-18   0.151814E-12
    28   0.150728E-09   0.143242E-14   0.220249E-19   0.151806E-12
    29   0.154308E-09   0.153194E-14   0.214709E-18   0.148546E-12
    30   0.158056E-09   0.164665E-14   0.433149E-18   0.142615E-12
    31   0.161833E-09   0.178892E-14   0.677887E-18   0.137128E-12
    32   0.165696E-09   0.196968E-14   0.949297E-18   0.132732E-12
    33   0.169620E-09   0.217558E-14   0.124757E-17   0.129033E-12
    34   0.173655E-09   0.240016E-14   0.157274E-17   0.125498E-12
    35   0.177855E-09   0.264333E-14   0.192460E-17   0.119791E-12
    36   0.182066E-09   0.290819E-14   0.230281E-17   0.112378E-12
    37   0.186354E-09   0.318946E-14   0.270678E-17   0.102729E-12
    38   0.190741E-09   0.347808E-14   0.313575E-17   0.916591E-13
    39   0.195216E-09   0.377793E-14   0.358874E-17   0.796768E-13
    40   0.199771E-09   0.409649E-14   0.406457E-17   0.670773E-13
    41   0.204394E-09   0.443992E-14   0.456187E-17   0.541045E-13
    42   0.209080E-09   0.480912E-14   0.507906E-17   0.407889E-13
    43   0.213823E-09   0.520361E-14   0.561436E-17   0.270539E-13
    44   0.218622E-09   0.562265E-14   0.616581E-17   0.126066E-13
    45   0.223477E-09   0.606510E-14   0.673126E-17  -0.288641E-14
    46   0.228379E-09   0.652979E-14   0.730837E-17  -0.196573E-13
    47   0.233326E-09   0.701692E-14   0.789466E-17  -0.377817E-13
    48   0.238320E-09   0.752616E-14   0.848748E-17  -0.572984E-13
    49   0.243364E-09   0.805703E-14   0.908402E-17  -0.782364E-13
    50   0.248467E-09   0.861060E-14   0.968136E-17  -0.100606E-12
    51   0.253642E-09   0.918799E-14   0.102764E-16  -0.124393E-12
    52   0.258879E-09   0.979015E-14   0.108661E-16  -0.149514E-12
    53   0.264165E-09   0.104175E-13   0.114471E-16  -0.175896E-12
    54   0.269494E-09   0.110706E-13   0.120162E-16  -0.203582E-12
    55   0.274862E-09   0.117502E-13   0.125699E-16  -0.232665E-12
    56   0.280281E-09   0.124561E-13   0.131049E-16  -0.263311E-12
    57   0.285758E-09   0.131880E-13   0.136176E-16  -0.295635E-12
    58   0.291282E-09   0.139461E-13   0.141048E-16  -0.329647E-12
    59   0.296835E-09   0.147306E-13   0.145630E-16  -0.365320E-12
    60   0.302409E-09   0.155405E-13   0.149888E-16  -0.402570E-12
    61   0.308001E-09   0.163753E-13   0.153789E-16  -0.441322E-12
    62   0.313617E-09   0.172351E-13   0.157302E-16  -0.481592E-12
    63   0.319269E-09   0.181202E-13   0.160394E-16  -0.523419E-12
    64   0.324965E-09   0.190310E-13   0.163036E-16  -0.566842E-12
    65   0.330719E-09   0.199679E-13   0.165200E-16  -0.611906E-12
    66   0.336540E-09   0.209308E-13   0.166859E-16  -0.658662E-12
    67   0.342424E-09   0.219201E-13   0.167987E-16  -0.707059E-12
    68   0.348362E-09   0.229359E-13   0.168561E-16  -0.757022E-12
    69   0.354344E-09   0.239786E-13   0.168561E-16  -0.808480E-12
    70   0.360360E-09   0.250488E-13   0.167968E-16  -0.861387E-12
    71   0.366404E-09   0.261470E-13   0.166766E-16  -0.915729E-12
    72   0.372483E-09   0.272737E-13   0.164942E-16  -0.971590E-12
    73   0.378605E-09   0.284287E-13   0.162484E-16  -0.102905E-11
    74   0.384761E-09   0.296113E-13   0.159387E-16  -0.108805E-11
    75   0.390946E-09   0.308205E-13   0.155644E-16  -0.114847E-11
    76   0.397148E-09   0.320551E-13   0.151255E-16  -0.121022E-11
    77   0.403357E-09   0.333145E-13   0.146221E-16  -0.127316E-11
    78   0.409580E-09   0.345979E-13   0.140548E-16  -0.133731E-11
    79   0.415833E-09   0.359044E-13   0.134244E-16  -0.140273E-11
    80   0.422129E-09   0.372335E-13   0.127321E-16  -0.146951E-11
    81   0.428479E-09   0.385844E-13   0.119794E-16  -0.153769E-11
    82   0.434886E-09   0.399575E-13   0.111683E-16  -0.160727E-11
    83   0.441345E-09   0.413530E-13   0.103009E-16  -0.167827E-11
    84   0.447858E-09   0.427710E-13   0.937977E-17  -0.175068E-11
    85   0.454422E-09   0.442118E-13   0.840783E-17  -0.182452E-11
    86   0.461035E-09   0.456757E-13   0.738829E-17  -0.189976E-11
    87   0.467689E-09   0.471621E-13   0.632467E-17  -0.197634E-11
    88   0.474374E-09   0.486704E-13   0.522081E-17  -0.205419E-11
    89   0.481088E-09   0.501998E-13   0.408084E-17  -0.213324E-11
    90   0.487825E-09   0.517491E-13   0.290916E-17  -0.221347E-11
    91   0.494580E-09   0.533176E-13   0.171044E-17  -0.229479E-11
    92   0.501355E-09   0.549043E-13   0.489599E-18  -0.237721E-11
    93   0.508152E-09   0.565083E-13  -0.748230E-18  -0.246071E-11
    94   0.514970E-09   0.581291E-13  -0.199770E-17  -0.254527E-11
