#    L    TT             EE             TE             PP             TP          
     2   0.271716E-09   0.626070E-13   0.105825E-11   0.880281E-07   0.683539E-08
     3   0.223946E-09   0.650720E-13   0.131159E-11   0.134515E-06   0.771121E-08
     4   0.188881E-09   0.444249E-13   0.120910E-11   0.174484E-06   0.791976E-08
     5   0.164827E-09   0.231878E-13   0.940205E-12   0.208483E-06   0.780921E-08
     6   0.148325E-09   0.106351E-13   0.647487E-12   0.237289E-06   0.756003E-08
     7   0.137349E-09   0.553996E-14   0.415036E-12   0.261740E-06   0.726334E-08
     8   0.129930E-09   0.393072E-14   0.266051E-12   0.282515E-06   0.695294E-08
     9   0.124497E-09   0.328663E-14   0.192554E-12   0.300190E-06   0.664030E-08
    10   0.121204E-09   0.281099E-14   0.169457E-12   0.315184E-06   0.632946E-08
    11   0.119138E-09   0.243218E-14   0.168091E-12   0.327950E-06   0.603182E-08
    12   0.117693E-09   0.211660E-14   0.173437E-12   0.338648E-06   0.574418E-08
    13   0.117217E-09   0.177829E-14   0.175821E-12   0.347697E-06   0.547666E-08
    14   0.117486E-09   0.141160E-14   0.166245E-12   0.355162E-06   0.522567E-08
    15   0.118108E-09   0.109645E-14   0.146976E-12   0.361347E-06   0.499211E-08
    16   0.119136E-09   0.888173E-15   0.128345E-12   0.366339E-06   0.476742E-08
    17   0.120564E-09   0.786929E-15   0.115724E-12   0.370278E-06   0.455036E-08
    18   0.122290E-09   0.779249E-15   0.112178E-12   0.373320E-06   0.434292E-08
    19   0.124414E-09   0.845248E-15   0.117387E-12   0.375552E-06   0.414880E-08
    20   0.126699E-09   0.952809E-15   0.127981E-12   0.377045E-06   0.397094E-08
    21   0.129195E-09   0.103811E-14   0.138066E-12   0.377877E-06   0.380751E-08
    22   0.131865E-09   0.105431E-14   0.142182E-12   0.378123E-06   0.365520E-08
    23   0.134643E-09   0.104445E-14   0.142310E-12   0.377851E-06   0.350969E-08
    24   0.137566E-09   0.106400E-14   0.142007E-12   0.377124E-06   0.336759E-08
    25   0.140667E-09   0.112429E-14   0.143112E-12   0.376003E-06   0.323013E-08
    26   0.143888E-09   0.122150E-14   0.147508E-12   0.374540E-06   0.309964E-08
    27   0.147253E-09   0.133218E-14   0.151849E-12   0.372732E-06   0.297792E-08
    28   0.150715E-09   0.143276E-14   0.151846E-12   0.370579E-06   0.286598E-08
    29   0.154294E-09   0.153216E-14   0.148590E-12   0.368148E-06   0.276191E-08
    30   0.158041E-09   0.164675E-14   0.142666E-12   0.365509E-06   0.266340E-08
    31   0.161817E-09   0.178887E-14   0.137185E-12   0.362683E-06   0.256931E-08
