#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.271716E-09   0.105825E-11   0.199858E-08   0.105825E-11   0.626070E-13  -0.164939E-10   0.199858E-08  -0.164939E-10   0.315228E-07
     3   0.223946E-09   0.131159E-11   0.188952E-08   0.131159E-11   0.650720E-13  -0.155317E-10   0.188952E-08  -0.155317E-10   0.380600E-07
     4   0.188881E-09   0.120910E-11   0.176156E-08   0.120910E-11   0.444249E-13  -0.106714E-10   0.176156E-08  -0.106714E-10   0.433906E-07
     5   0.164827E-09   0.940205E-12   0.163380E-08   0.940205E-12   0.231878E-13  -0.498151E-11   0.163380E-08  -0.498151E-11   0.477807E-07
     6   0.148325E-09   0.647487E-12   0.151623E-08   0.647487E-12   0.106351E-13  -0.355991E-12   0.151623E-08  -0.355991E-12   0.514033E-07
     7   0.137349E-09   0.415036E-12   0.141236E-08   0.415036E-12   0.553996E-14   0.240365E-11   0.141236E-08   0.240365E-11   0.544094E-07
     8   0.129930E-09   0.266051E-12   0.132044E-08   0.266051E-12   0.393072E-14   0.329407E-11   0.132044E-08   0.329407E-11   0.569070E-07
     9   0.124497E-09   0.192554E-12   0.123778E-08   0.192554E-12   0.328663E-14   0.274404E-11   0.123778E-08   0.274404E-11   0.589836E-07
    10   0.121204E-09   0.169457E-12   0.116219E-08   0.169457E-12   0.281099E-14   0.140565E-11   0.116219E-08   0.140565E-11   0.606974E-07
    11   0.119138E-09   0.168091E-12   0.109383E-08   0.168091E-12   0.243218E-14   0.103472E-13   0.109383E-08   0.103472E-13   0.621162E-07
    12   0.117693E-09   0.173437E-12   0.103084E-08   0.173437E-12   0.211660E-14  -0.883453E-12   0.103084E-08  -0.883453E-12   0.632547E-07
    13   0.117217E-09   0.175821E-12   0.974122E-09   0.175821E-12   0.177829E-14  -0.113338E-11   0.974122E-09  -0.113338E-11   0.641786E-07
    14   0.117486E-09   0.166245E-12   0.922374E-09   0.166245E-12   0.141160E-14  -0.989113E-12   0.922374E-09  -0.989113E-12   0.648893E-07
    15   0.118108E-09   0.146976E-12   0.875280E-09   0.146976E-12   0.109645E-14  -0.792986E-12   0.875280E-09  -0.792986E-12   0.654337E-07
    16   0.119136E-09   0.128345E-12   0.830990E-09   0.128345E-12   0.888173E-15  -0.698945E-12   0.830990E-09  -0.698945E-12   0.658205E-07
    17   0.120564E-09   0.115724E-12   0.789044E-09   0.115724E-12   0.786929E-15  -0.603524E-12   0.789044E-09  -0.603524E-12   0.660686E-07
    18   0.122290E-09   0.112178E-12   0.749589E-09   0.112178E-12   0.779249E-15  -0.394498E-12   0.749589E-09  -0.394498E-12   0.662007E-07
    19   0.124414E-09   0.117387E-12   0.713110E-09   0.117387E-12   0.845248E-15  -0.145322E-12   0.713110E-09  -0.145322E-12   0.662282E-07
