a   H_over_H0
1.00000000e-06 1.11611418e+14
1.00276748e-06 1.00000000e+00
1.00554261e-06 1.00000000e+00
1.00832543e-06 1.00000000e+00
1.01111595e-06 1.00000000e+00
1.01391419e-06 1.00000000e+00
1.01672017e-06 1.00000000e+00
1.01953392e-06 1.00000000e+00
1.02235546e-06 1.00000000e+00
1.02518480e-06 1.00000000e+00
1.02802198e-06 1.00000000e+00
1.03086701e-06 1.00000000e+00
1.03371991e-06 1.00000000e+00
1.03658071e-06 1.00000000e+00
1.03944942e-06 1.00000000e+00
1.04232607e-06 1.00000000e+00
1.04521068e-06 1.00000000e+00
1.04810328e-06 1.00000000e+00
1.05100388e-06 1.00000000e+00
1.05391251e-06 1.00000000e+00
1.05682919e-06 1.00000000e+00
1.05975394e-06 1.00000000e+00
1.06268679e-06 1.00000000e+00
1.06562775e-06 1.00000000e+00
1.06857685e-06 1.00000000e+00
1.07153411e-06 1.00000000e+00
1.07449956e-06 1.00000000e+00
1.07747321e-06 1.00000000e+00
1.08045509e-06 1.00000000e+00
1.08344523e-06 1.00000000e+00
1.08644364e-06 1.00000000e+00
1.08945035e-06 1.00000000e+00
1.09246538e-06 1.00000000e+00
1.09548875e-06 1.00000000e+00
1.09852049e-06 1.00000000e+00
1.10156062e-06 1.00000000e+00
1.10460916e-06 1.00000000e+00
1.10766614e-06 1.00000000e+00
1.11073159e-06 1.00000000e+00
1.11380551e-06 1.00000000e+00
1.11688794e-06 1.00000000e+00
1.11997890e-06 1.00000000e+00
1.12307842e-06 1.00000000e+00
1.12618651e-06 1.00000000e+00
1.12930321e-06 1.00000000e+00
1.13242853e-06 1.00000000e+00
1.13556250e-06 1.00000000e+00
1.13870514e-06 1.00000000e+00
1.14185648e-06 1.00000000e+00
1.14501655e-06 1.00000000e+00
1.14818535e-06 1.00000000e+00
1.15136293e-06 1.00000000e+00
1.15454930e-06 1.00000000e+00
1.15774449e-06 1.00000000e+00
1.16094852e-06 1.00000000e+00
1.16416142e-06 1.00000000e+00
1.16738321e-06 1.00000000e+00
1.17061392e-06 1.00000000e+00
1.17385356e-06 1.00000000e+00
1.17710218e-06 1.00000000e+00
1.18035978e-06 1.00000000e+00
1.18362640e-06 1.00000000e+00
1.18690206e-06 1.00000000e+00
1.19018678e-06 1.00000000e+00
1.19348060e-06 1.00000000e+00
1.19678353e-06 1.00000000e+00
1.20009560e-06 1.00000000e+00
1.20341684e-06 1.00000000e+00
1.20674727e-06 1.00000000e+00
1.21008691e-06 1.00000000e+00
1.21343580e-06 1.00000000e+00
1.21679395e-06 1.00000000e+00
1.22016140e-06 1.00000000e+00
1.22353817e-06 1.00000000e+00
1.22692429e-06 1.00000000e+00
1.23031977e-06 1.00000000e+00
1.23372465e-06 1.00000000e+00
1.23713896e-06 1.00000000e+00
1.24056271e-06 1.00000000e+00
1.24399594e-06 1.00000000e+00
1.24743867e-06 1.00000000e+00
1.25089093e-06 1.00000000e+00
1.25435274e-06 1.00000000e+00
1.25782414e-06 1.00000000e+00
1.26130514e-06 1.00000000e+00
1.26479577e-06 1.00000000e+00
1.26829606e-06 1.00000000e+00
1.27180604e-06 1.00000000e+00
1.27532574e-06 1.00000000e+00
1.27885517e-06 1.00000000e+00
1.28239437e-06 1.00000000e+00
1.28594337e-06 1.00000000e+00
1.28950219e-06 1.00000000e+00
1.29307086e-06 1.00000000e+00
1.29664940e-06 1.00000000e+00
1.30023785e-06 1.00000000e+00
1.30383623e-06 1.00000000e+00
1.30744457e-06 1.00000000e+00
1.31106289e-06 1.00000000e+00
1.31469123e-06 1.00000000e+00
1.31832960e-06 1.00000000e+00
1.32197805e-06 1.00000000e+00
1.32563660e-06 1.00000000e+00
1.32930527e-06 1.00000000e+00
1.33298409e-06 1.00000000e+00
1.33667309e-06 1.00000000e+00
1.34037230e-06 1.00000000e+00
1.34408175e-06 1.00000000e+00
1.34780147e-06 1.00000000e+00
1.35153148e-06 1.00000000e+00
1.35527181e-06 1.00000000e+00
1.35902249e-06 1.00000000e+00
1.36278356e-06 1.00000000e+00
1.36655503e-06 1.00000000e+00
1.37033694e-06 1.00000000e+00
1.37412932e-06 1.00000000e+00
1.37793219e-06 1.00000000e+00
1.38174559e-06 1.00000000e+00
1.38556953e-06 1.00000000e+00
1.38940407e-06 1.00000000e+00
1.39324921e-06 1.00000000e+00
1.39710500e-06 1.00000000e+00
1.40097145e-06 1.00000000e+00
1.40484861e-06 1.00000000e+00
1.40873650e-06 1.00000000e+00
1.41263514e-06 1.00000000e+00
1.41654458e-06 1.00000000e+00
1.42046483e-06 1.00000000e+00
1.42439594e-06 1.00000000e+00
1.42833792e-06 1.00000000e+00
1.43229081e-06 1.00000000e+00
1.43625465e-06 1.00000000e+00
1.44022945e-06 1.00000000e+00
1.44421525e-06 1.00000000e+00
1.44821208e-06 1.00000000e+00
1.45221998e-06 1.00000000e+00
1.45623896e-06 1.00000000e+00
1.46026907e-06 1.00000000e+00
1.46431033e-06 1.00000000e+00
