Omega_m,cost,age_Gyr,ok,P1,P2,P3,P4,P5,P6
0.010000,,,0,,,,,,
0.010100,,,0,,,,,,
0.010200,,,0,,,,,,
0.010300,,,0,,,,,,
0.010400,,,0,,,,,,
0.010500,,,0,,,,,,
0.010600,,,0,,,,,,
0.010700,,,0,,,,,,
0.010800,,,0,,,,,,
0.010900,,,0,,,,,,
0.011000,,,0,,,,,,
0.011100,,,0,,,,,,
0.011200,,,0,,,,,,
0.011300,,,0,,,,,,
0.011400,,,0,,,,,,
0.011500,,,0,,,,,,
0.011600,,,0,,,,,,
0.011700,,,0,,,,,,
0.011800,,,0,,,,,,
0.011900,,,0,,,,,,
0.012000,,,0,,,,,,
0.012100,,,0,,,,,,
0.012200,,,0,,,,,,
0.012300,,,0,,,,,,
0.012400,,,0,,,,,,
0.012500,,,0,,,,,,
0.012600,,,0,,,,,,
0.012700,,,0,,,,,,
0.012800,,,0,,,,,,
0.012900,,,0,,,,,,
0.013000,,,0,,,,,,
0.013100,,,0,,,,,,
0.013200,,,0,,,,,,
0.013300,,,0,,,,,,
0.013400,,,0,,,,,,
0.013500,,,0,,,,,,
0.013600,,,0,,,,,,
0.013700,4.238631351577039,,1,350.0,508.0,650.0,1300.0,1371.0,1550.0
0.013800,4.2470380670394245,,1,350.0,507.0,650.0,1300.0,1368.0,1550.0
0.013900,4.255474711553031,,1,350.0,506.0,650.0,1300.0,1365.0,1550.0
0.014000,4.266445618846622,,1,350.0,505.0,650.0,1300.0,1361.0,1550.0
0.014100,4.275928615797559,,1,350.0,503.0,650.0,1300.0,1358.0,1550.0
0.014200,4.28446701908532,,1,350.0,502.0,650.0,1300.0,1355.0,1550.0
0.014300,4.2920518499945395,,1,350.0,502.0,650.0,1300.0,1352.0,1550.0
0.014400,4.303190359974974,,1,350.0,501.0,650.0,1300.0,1348.0,1550.0
0.014500,4.311824536226645,,1,350.0,500.0,650.0,1300.0,1345.0,1550.0
0.014600,4.319499154289529,,1,350.0,500.0,650.0,1300.0,1342.0,1550.0
0.014700,4.330178148933909,,1,350.0,497.0,650.0,1300.0,1339.0,1550.0
0.014800,4.338905105244369,,1,350.0,496.0,650.0,1300.0,1336.0,1550.0
0.014900,4.346660531745553,,1,350.0,496.0,650.0,1300.0,1333.0,1550.0
0.015000,4.3554443532533345,,1,350.0,495.0,650.0,1300.0,1330.0,1550.0
0.015100,4.364258103812339,,1,350.0,494.0,650.0,1300.0,1327.0,1550.0
0.015200,4.373101783422565,,1,350.0,493.0,650.0,1300.0,1324.0,1550.0
0.015300,4.381975392084013,,1,350.0,492.0,650.0,1300.0,1321.0,1550.0
0.015400,4.389865499315696,,1,350.0,492.0,650.0,1300.0,1318.0,1550.0
0.015500,4.399812396560574,,1,350.0,490.0,650.0,1300.0,1315.0,1550.0
0.015600,4.4051053900047075,,1,350.0,490.0,650.0,1300.0,1313.0,1550.0
0.015700,4.414086743250555,,1,350.0,489.0,650.0,1300.0,1310.0,1550.0
0.015800,4.423098025547624,,1,350.0,488.0,650.0,1300.0,1307.0,1550.0
0.015900,4.432139236895916,,1,350.0,487.0,650.0,1300.0,1304.0,1550.0
0.016000,4.438526469259335,,1,350.0,486.0,650.0,1300.0,1302.0,1550.0
0.016100,4.4488821993261345,,1,350.0,485.0,650.0,1299.0,1299.0,1550.0
0.016200,4.46181309453775,,1,350.0,484.0,650.0,1296.0,1296.0,1550.0
0.016300,4.470811406907453,,1,350.0,483.0,650.0,1294.0,1294.0,1550.0
0.016400,4.482797708455892,,1,350.0,483.0,650.0,1291.0,1291.0,1550.0
0.016500,4.491858871833162,,1,350.0,482.0,650.0,1289.0,1289.0,1550.0
0.016600,4.504978320067475,,1,350.0,481.0,650.0,1286.0,1286.0,1550.0
0.016700,4.518154633499113,,1,350.0,480.0,650.0,1283.0,1283.0,1550.0
0.016800,4.5283728868032345,,1,350.0,478.0,650.0,1281.0,1281.0,1550.0
0.016900,4.536513399758304,,1,350.0,478.0,650.0,1279.0,1279.0,1550.0
0.017000,4.548769062767741,,1,350.0,478.0,650.0,1276.0,1276.0,1550.0
0.017100,4.5580247649779535,,1,350.0,477.0,650.0,1274.0,1274.0,1550.0
0.017200,4.572489856161821,,1,350.0,475.0,650.0,1271.0,1271.0,1550.0
0.017300,4.582881697963029,,1,350.0,473.0,650.0,1269.0,1269.0,1550.0
0.017400,4.594249632506612,,1,350.0,474.0,650.0,1266.0,1266.0,1550.0
0.017500,4.602569719769014,,1,350.0,474.0,650.0,1264.0,1264.0,1550.0
0.017600,4.61198105304558,,1,350.0,473.0,650.0,1262.0,1262.0,1550.0
0.017700,4.626685576639223,,1,350.0,471.0,650.0,1259.0,1259.0,1550.0
0.017800,4.635089465245045,,1,350.0,471.0,650.0,1257.0,1257.0,1550.0
0.017900,4.643517297091846,,1,350.0,471.0,650.0,1255.0,1255.0,1550.0
0.018000,4.65835949432111,,1,350.0,469.0,650.0,1252.0,1252.0,1550.0
0.018100,4.666847184270354,,1,350.0,469.0,650.0,1250.0,1250.0,1550.0
0.018200,4.670759013649357,,1,350.0,468.0,650.0,1248.0,1250.0,1550.0
0.018300,4.67468580755397,,1,350.0,467.0,650.0,1246.0,1250.0,1550.0
0.018400,4.6786275659841925,,1,350.0,466.0,650.0,1244.0,1250.0,1550.0
0.018500,4.682930270754381,,1,350.0,466.0,650.0,1241.0,1250.0,1550.0
0.018600,4.686904951140949,,1,350.0,465.0,650.0,1239.0,1250.0,1550.0
0.018700,4.689800357133842,,1,350.0,465.0,650.0,1237.0,1250.0,1550.0
0.018800,4.693801973666509,,1,350.0,464.0,650.0,1235.0,1250.0,1550.0
0.018900,4.697818554724788,,1,350.0,463.0,650.0,1233.0,1250.0,1550.0
0.019000,4.701850100308676,,1,350.0,462.0,650.0,1231.0,1250.0,1550.0
0.019100,3.6038013276858325,,1,350.0,462.0,650.0,1229.0,1250.0,1939.0
0.019200,3.614617858726142,,1,350.0,461.0,650.0,1227.0,1250.0,1936.0
0.019300,3.625476290438163,,1,350.0,460.0,650.0,1225.0,1250.0,1933.0
0.019400,3.6375440457214148,,1,350.0,460.0,650.0,1223.0,1250.0,1929.0
0.019500,3.6484922645871025,,1,350.0,459.0,650.0,1221.0,1250.0,1926.0
0.019600,3.6594823841244994,,1,350.0,458.0,650.0,1219.0,1250.0,1923.0
0.019700,3.6705144043336073,,1,350.0,457.0,650.0,1217.0,1250.0,1920.0
0.019800,3.6804701430541633,,1,350.0,457.0,650.0,1215.0,1250.0,1917.0
0.019900,3.690464789541307,,1,350.0,457.0,650.0,1213.0,1250.0,1914.0
0.020000,3.7027377010206894,,1,350.0,455.0,650.0,1211.0,1250.0,1911.0
0.020100,3.711688987975624,,1,350.0,456.0,650.0,1209.0,1250.0,1908.0
0.020200,3.7229215328279195,,1,350.0,455.0,650.0,1207.0,1250.0,1905.0
0.020300,3.7341959783519263,,1,350.0,454.0,650.0,1205.0,1250.0,1902.0
0.020400,3.7455123245476436,,1,350.0,453.0,650.0,1203.0,1250.0,1899.0
0.020500,3.7541834736009134,,1,350.0,453.0,650.0,1202.0,1250.0,1896.0
0.020600,3.7655746424246854,,1,350.0,452.0,650.0,1200.0,1250.0,1893.0
0.020700,3.7770077119201684,,1,350.0,451.0,650.0,1198.0,1250.0,1890.0
0.020800,3.787346542496365,,1,350.0,451.0,650.0,1196.0,1250.0,1887.0
0.020900,3.797724280839151,,1,350.0,451.0,650.0,1194.0,1250.0,1884.0
0.021000,3.8068567807492384,,1,350.0,450.0,650.0,1192.0,1250.0,1882.0
0.021100,3.816852622416204,,1,350.0,449.0,650.0,1191.0,1250.0,1879.0
0.021200,3.828474244934385,,1,350.0,448.0,650.0,1189.0,1250.0,1876.0
0.021300,3.8401377681242783,,1,350.0,447.0,650.0,1187.0,1250.0,1873.0
0.021400,3.848241873027768,,1,350.0,447.0,650.0,1185.0,1250.0,1871.0
0.021500,3.8583664096149874,,1,350.0,446.0,650.0,1184.0,1250.0,1868.0
0.021600,3.8689865732726716,,1,350.0,446.0,650.0,1182.0,1250.0,1865.0
0.021700,3.877168493709338,,1,350.0,446.0,650.0,1180.0,1250.0,1863.0
