a  H_over_H0
1.000000e-06 9.489362e+09
2.510623e-04 1.602676e+05
5.011245e-04 4.252697e+04
7.511868e-04 1.989708e+04
1.001249e-03 1.172069e+04
1.251311e-03 7.823700e+03
1.501374e-03 5.647783e+03
1.751436e-03 4.301166e+03
2.001498e-03 3.405253e+03
2.251560e-03 2.776342e+03
2.501623e-03 2.316216e+03
2.751685e-03 1.968333e+03
3.001747e-03 1.698191e+03
3.251809e-03 1.483723e+03
3.501872e-03 1.310250e+03
3.751934e-03 1.167688e+03
4.001996e-03 1.048909e+03
4.252059e-03 9.487556e+02
4.502121e-03 8.634135e+02
4.752183e-03 7.900123e+02
5.002245e-03 7.263546e+02
5.252308e-03 6.707341e+02
5.502370e-03 6.218084e+02
5.752432e-03 5.785086e+02
6.002494e-03 5.399745e+02
6.252557e-03 5.055072e+02
6.502619e-03 4.745337e+02
6.752681e-03 4.465802e+02
7.002743e-03 4.212521e+02
7.252806e-03 3.982186e+02
7.502868e-03 3.772002e+02
7.752930e-03 3.579595e+02
8.002992e-03 3.402940e+02
8.253055e-03 3.240296e+02
8.503117e-03 3.090163e+02
8.753179e-03 2.951237e+02
9.003242e-03 2.822387e+02
9.253304e-03 2.702623e+02
9.503366e-03 2.591075e+02
9.753428e-03 2.486978e+02
1.000349e-02 2.389656e+02
1.025355e-02 2.298509e+02
1.050362e-02 2.213005e+02
1.075368e-02 2.132667e+02
1.100374e-02 2.057070e+02
1.125380e-02 1.985833e+02
1.150386e-02 1.918613e+02
1.175393e-02 1.855100e+02
1.200399e-02 1.795015e+02
1.225405e-02 1.738106e+02
1.250411e-02 1.684142e+02
1.275418e-02 1.632916e+02
1.300424e-02 1.584237e+02
1.325430e-02 1.537932e+02
1.350436e-02 1.493843e+02
1.375442e-02 1.451823e+02
1.400449e-02 1.411740e+02
1.425455e-02 1.373471e+02
1.450461e-02 1.336905e+02
1.475467e-02 1.301936e+02
1.500474e-02 1.268469e+02
1.525480e-02 1.236415e+02
1.550486e-02 1.205693e+02
1.575492e-02 1.176227e+02
1.600498e-02 1.147945e+02
1.625505e-02 1.120783e+02
1.650511e-02 1.094679e+02
1.675517e-02 1.069577e+02
1.700523e-02 1.045424e+02
1.725530e-02 1.022170e+02
1.750536e-02 9.997696e+01
1.775542e-02 9.781795e+01
1.800548e-02 9.573592e+01
1.825555e-02 9.372710e+01
1.850561e-02 9.178793e+01
1.875567e-02 8.991510e+01
1.900573e-02 8.810548e+01
1.925579e-02 8.635611e+01
1.950586e-02 8.466424e+01
1.975592e-02 8.302726e+01
2.000598e-02 8.144271e+01
2.025604e-02 7.990828e+01
2.050611e-02 7.842178e+01
2.075617e-02 7.698114e+01
2.100623e-02 7.558441e+01
2.125629e-02 7.422974e+01
2.150635e-02 7.291538e+01
2.175642e-02 7.163969e+01
2.200648e-02 7.040107e+01
2.225654e-02 6.919806e+01
2.250660e-02 6.802923e+01
2.275667e-02 6.689324e+01
2.300673e-02 6.578882e+01
2.325679e-02 6.471476e+01
2.350685e-02 6.366989e+01
2.375692e-02 6.265313e+01
2.400698e-02 6.166343e+01
2.425704e-02 6.069979e+01
2.450710e-02 5.976127e+01
2.475716e-02 5.884696e+01
2.500723e-02 5.795599e+01
2.525729e-02 5.708755e+01
2.550735e-02 5.624083e+01
2.575741e-02 5.541511e+01
2.600748e-02 5.460964e+01
2.625754e-02 5.382374e+01
2.650760e-02 5.305677e+01
2.675766e-02 5.230808e+01
2.700772e-02 5.157707e+01
2.725779e-02 5.086317e+01
2.750785e-02 5.016581e+01
2.775791e-02 4.948448e+01
2.800797e-02 4.881866e+01
2.825804e-02 4.816786e+01
2.850810e-02 4.753161e+01
2.875816e-02 4.690946e+01
2.900822e-02 4.630098e+01
2.925829e-02 4.570576e+01
2.950835e-02 4.512339e+01
2.975841e-02 4.455349e+01
3.000847e-02 4.399568e+01
3.025853e-02 4.344962e+01
3.050860e-02 4.291496e+01
3.075866e-02 4.239137e+01
3.100872e-02 4.187854e+01
3.125878e-02 4.137615e+01
3.150885e-02 4.088392e+01
3.175891e-02 4.040155e+01
3.200897e-02 3.992878e+01
3.225903e-02 3.946534e+01
3.250909e-02 3.901097e+01
3.275916e-02 3.856544e+01
3.300922e-02 3.812849e+01
3.325928e-02 3.769990e+01
3.350934e-02 3.727946e+01
3.375941e-02 3.686693e+01
3.400947e-02 3.646213e+01
3.425953e-02 3.606485e+01
3.450959e-02 3.567489e+01
3.475965e-02 3.529206e+01
3.500972e-02 3.491620e+01
3.525978e-02 3.454711e+01
3.550984e-02 3.418464e+01
3.575990e-02 3.382861e+01
3.600997e-02 3.347887e+01
3.626003e-02 3.313527e+01
3.651009e-02 3.279765e+01
3.676015e-02 3.246587e+01
3.701022e-02 3.213979e+01
3.726028e-02 3.181927e+01
3.751034e-02 3.150419e+01
3.776040e-02 3.119442e+01
3.801046e-02 3.088982e+01
3.826053e-02 3.059029e+01
3.851059e-02 3.029570e+01
3.876065e-02 3.000594e+01
3.901071e-02 2.972091e+01
3.926078e-02 2.944049e+01
3.951084e-02 2.916458e+01
3.976090e-02 2.889308e+01
4.001096e-02 2.862589e+01
4.026102e-02 2.836292e+01
4.051109e-02 2.810408e+01
4.076115e-02 2.784927e+01
4.101121e-02 2.759841e+01
4.126127e-02 2.735142e+01
4.151134e-02 2.710820e+01
4.176140e-02 2.686869e+01
4.201146e-02 2.663279e+01
4.226152e-02 2.640045e+01
4.251159e-02 2.617158e+01
4.276165e-02 2.594610e+01
4.301171e-02 2.572396e+01
4.326177e-02 2.550508e+01
4.351183e-02 2.528940e+01
4.376190e-02 2.507685e+01
4.401196e-02 2.486736e+01
4.426202e-02 2.466089e+01
4.451208e-02 2.445735e+01
4.476215e-02 2.425671e+01
4.501221e-02 2.405890e+01
4.526227e-02 2.386387e+01
4.551233e-02 2.367155e+01
4.576239e-02 2.348191e+01
4.601246e-02 2.329488e+01
4.626252e-02 2.311042e+01
4.651258e-02 2.292849e+01
4.676264e-02 2.274902e+01
4.701271e-02 2.257197e+01
